SpecName,accGenus,accSpecies,PalmTribe,PalmSubfamily,Climbing,Acaulescence,Errect,UnderstoreyCanopy,StemSolitary,MaxStemHeight_m,MaxStemDia_cm,StemArmed,LeavesArmed,MaxLeafNumber,Max_Blade_Length_m,Max_Rachis_Length_m,Max_Petiole_length_m,AverageFruitLength_cm,MinFruitLength_cm,MaxFruitLength_cm,AverageFruitWidth_cm,MinFruitWidth_cm,MaxFruitWidth_cm,FruitSizeBinary,FruitShape,FruitColor,FruitTexture,FruitColorChange,FruitNotes,Extra reference / note
Pholidocarpus ihur,Pholidocarpus,ihur,Trachycarpeae,Coryphoideae,0,0,1,canopy,1,30,40,0,1,25,1.3,,2.75,4,,,3.5,,,large,ovoid,dull brown,,,,Kew herbaria
Pholidocarpus kingianus,Pholidocarpus,kingianus,Trachycarpeae,Coryphoideae,0,0,1,,1,,,0,1,,,,1.15,8,,,5.5,,,large,globose,,,,,
Pholidocarpus macrocarpus,Pholidocarpus,macrocarpus,Trachycarpeae,Coryphoideae,0,0,1,canopy,1,40,40,0,1,50,1.1,1,2.75,11.5,10,13,11,10,12,large,globose,dull or dusty brown,warty; warty-corky,,,
Pholidocarpus majadum,Pholidocarpus,majadum,Trachycarpeae,Coryphoideae,0,0,1,canopy,1,15,30,0,1,,1,,2.4,7.75,4.5,11,7.50,4,11,large,,"warty, corky, brown",,,,Kew herbaria
Pholidocarpus mucronatus,Pholidocarpus,mucronatus,Trachycarpeae,Coryphoideae,0,0,1,,1,,,0,1,,,,,,,,,,,,globose,,,,,
Pholidocarpus sumatranus,Pholidocarpus,sumatranus,Trachycarpeae,Coryphoideae,0,0,1,canopy,1,15,,0,1,,1,1,2.75,7.5,,,7.5,,,large,ovoid,corky brown,,,,palmpedia
Pholidostachys amazonensis,Pholidostachys,amazonensis,Geonomateae,Arecoideae,0,0,1,,1,,,0,0,,,0.42,,,,,,,,,,,,,,
Pholidostachys dactyloides,Pholidostachys,dactyloides,Geonomateae,Arecoideae,0,0,1,canopy,1,10,12,0,0,25,3.53,2.31,1.27,1.215,0.8,1.63,0.79,0.58,1.15,small,,yellow to orange,,,,
Pholidostachys kalbreyeri,Pholidostachys,kalbreyeri,Geonomateae,Arecoideae,0,0,1,canopy,1,6.6,12,0,0,23,2.8,1.6,1.25,2.23,1.15,2.92,1.11,0.66,1.46,small,elongate,brown,smooth,,,
Pholidostachys occidentalis,Pholidostachys,occidentalis,Geonomateae,Arecoideae,0,0,1,canopy,1,11,15,0,0,20,,2.34,0.6,1.7,1.62,1.8,0.93,0.85,0.98,small,,brown,,,,palmpedia
Pholidostachys panamensis,Pholidostachys,panamensis,Geonomateae,Arecoideae,0,0,1,understorey,1,3,11,0,0,19,,1.55,1.5,2.86,2.25,3.21,2.08,1.81,2.45,small,,brown,,,,palmpedia
Pholidostachys pulchra,Pholidostachys,pulchra,Geonomateae,Arecoideae,0,0,1,canopy,2,9,8,0,0,23,3.06,1.56,1.55,2.23,1.15,2.92,1.11,0.66,1.46,small,ovoid,red to black,,,,palmpedia
Pholidostachys sanluisensis,Pholidostachys,sanluisensis,Geonomateae,Arecoideae,0,0,1,understorey,1,5,4,0,0,,,0.92,1,1.98,1.96,1.99,1.03,0.98,1.07,small,,,,,,
Pholidostachys synanthera,Pholidostachys,synanthera,Geonomateae,Arecoideae,0,0,1,canopy,1,12,22,0,0,27,2.6,1.24,1.41,1.385,1,1.77,0.84,0.61,1.05,small,ovoid,black,,,,
Physokentia avia,Physokentia,avia,Areceae,Arecoideae,0,0,1,,1,,,0,0,,,,,,,,,,,,,,,,,
Physokentia dennisii,Physokentia,dennisii,Areceae,Arecoideae,0,0,1,canopy,1,10.5,,0,0,,1.82,1.8,0.02,1.5,,,1.1,,,small,,orange-red,,,,palmweb
Physokentia insolita,Physokentia,insolita,Areceae,Arecoideae,0,0,1,canopy,1,15,17.5,0,0,8,2.175,1.8,0.43,1.2,1.1,1.3,1.20,1,1.3,small,,red,,,,palmweb
Physokentia petiolata,Physokentia,petiolata,Areceae,Arecoideae,0,0,1,canopy,1,8,10,0,0,10,2,1.78,0.24,2,,,1.65,1.3,2.00,small,globose,dark red,,,,palmweb
Physokentia tete,Physokentia,tete,Areceae,Arecoideae,0,0,1,understorey,1,4.5,7,0,0,,0.6,,,2.55,2.5,2.6,2.05,1.8,2.3,small,,black,,,,"palmweb, Kew herbria"
Physokentia thurstonii,Physokentia,thurstonii,Areceae,Arecoideae,0,0,1,canopy,1,7,10,0,0,10,0.95,0.55,0.45,2.5,,,2.1,,,small,,black,,,,palmweb
Physokentia whitmorei,Physokentia,whitmorei,Areceae,Arecoideae,0,0,1,canopy,1,6,,0,0,6,0.9,,,2.3,,,2,,,small,globose,olive to black,,,,palmweb
Phytelephas aequatorialis,Phytelephas,aequatorialis,Phytelepheae,Ceroxyloideae,0,0,1,canopy,1,15,30,0,0,25,8,,,7.5,,,,,,large,globose,"brown orange, horned husk",,,,"palmweb, fruiting head of 3cm consisting of ca. 5 fruits"
Phytelephas macrocarpa,Phytelephas,macrocarpa,Phytelepheae,Ceroxyloideae,0,2,2,understorey,1,2,30,0,0,20,8.5,7,1.55,13,10,16,15.50,13.00,18.00,large,globose,"yellowish-orange, brown",,,,Kew herbaria
Phytelephas schottii,Phytelephas,schottii,Phytelepheae,Ceroxyloideae,0,0,1,understorey,1,0,0,0,0,20,8.34,7.5,0.96,,,,,,,,,hidden in leaf litter,,,,Kew herbaria
Phytelephas seemannii,Phytelephas,seemannii,Phytelepheae,Ceroxyloideae,0,0,1,understorey,1,4,30,0,0,35,6.5,5.5,,8,6,10,14,12,16,large,depressed globose,brown,,,,"palmweb, palmpedia"
Phytelephas tenuicaulis,Phytelephas,tenuicaulis,Phytelepheae,Ceroxyloideae,0,0,1,canopy,0,7,10,0,0,20,7.76,5.5,2.36,7.5,6,9,,,,large,ovoid,brown,,,,palmpedia
Phytelephas tumacana,Phytelephas,tumacana,Phytelepheae,Ceroxyloideae,0,0,1,understorey,1,5,20,0,0,15,6,5,,7.5,7,8,12.5,10,15,large,,brown,with woody spiny projections,,,palmpedia
Pigafetta elata,Pigafetta,elata,Calameae,Calamoideae,0,0,1,canopy,1,40,40,0,1,,3,,0.75,0.9,,,0.7,,,small,,light brown scales,,,,palmpedia
Pigafetta filaris,Pigafetta,filaris,Calameae,Calamoideae,0,0,1,canopy,1,25,45,0,1,20,6,6,,1.00,0.8,1.20,0.65,0.6,0.7,small,globose,imbricate yellow to orange scales ,,,,palmpedia
Pinanga acaulis,Pinanga,acaulis,Areceae,Arecoideae,0,1,0,understorey,1,0.1,0,0,0,,0.9,0.9,0.22,1.2,,,0.7,,,small,,,,,,
Pinanga acuminata,Pinanga,acuminata,Areceae,Arecoideae,0,0,1,understorey,0,5,2,0,0,,0.7,0.7,,1.5,,,0.7,,,small,,red,,,,flora of china
Pinanga adangensis,Pinanga,adangensis,Areceae,Arecoideae,0,0,1,canopy,0,8,5,0,0,6,2,2,,1.55,1.3,1.8,1.05,0.9,1.2,small,ovoid,purple-black,,,,
Pinanga albescens,Pinanga,albescens,Areceae,Arecoideae,0,0,1,understorey,2,1.5,1.5,0,0,,0.5,,0.22,4.5,,,5,,,large,ovoid,"pale yellow, white, green, dark green",,,,Kew herbaria
Pinanga andamanensis,Pinanga,andamanensis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Pinanga angustisecta,Pinanga,angustisecta,Areceae,Arecoideae,0,0,1,understorey,1,3,,0,0,,2.25,,,1.7,,,0.8,,,small,,"red, pale reddish brown",,,,Kew herbaria
Pinanga annamensis,Pinanga,annamensis,Areceae,Arecoideae,0,0,1,understorey,0,5,3.5,0,0,6,1.2,1.2,,1.8,,,1.2,,,small,ovoid,pink or red,,,,
Pinanga arinasae,Pinanga,arinasae,Areceae,Arecoideae,0,0,1,canopy,1,12,15,0,0,10,3.3,2.15,0.22,1.45,1.2,1.7,1,0.8,1.2,small,ovoid,red blackish,,,,palmweb
Pinanga aristata,Pinanga,aristata,Areceae,Arecoideae,0,0,1,understorey,2,2,2,0,0,7,1.8,,0.4,0.8,,,0.6,,,small,ovoid,"pale orange, orange-brick red",,,,Kew herbaria
Pinanga arundinacea,Pinanga,arundinacea,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Pinanga auriculata,Pinanga,auriculata,Areceae,Arecoideae,0,0,1,understorey,1,4,3,0,0,,1,1,,1.55,1.1,2,0.85,0.7,1,small,globose,ripening from white to red to black; burgundy red,,1,,
Pinanga badia,Pinanga,badia,Areceae,Arecoideae,0,0,1,understorey,0,3,2.5,0,0,6,2.7,1.8,,1.7,,,0.8,,,small,,red or pink,,,,
Pinanga basilanensis,Pinanga,basilanensis,Areceae,Arecoideae,0,0,1,canopy,1,10,20,0,0,,,,,1.6,,,0.80,,,small,ovoid,,,,,Kew herbaria
Pinanga batanensis,Pinanga,batanensis,Areceae,Arecoideae,0,0,1,canopy,1,6,,0,0,,2.5,,,2.1,,,1.20,,,small,globose,,,,,Kew herbaria
Pinanga baviensis,Pinanga,baviensis,Areceae,Arecoideae,0,0,1,understorey,2,5,2.5,0,0,6,1.33,1,0.38,2.5,,,1,,,small,,red,,,,
Pinanga bicolana,Pinanga,bicolana,Areceae,Arecoideae,0,0,1,understorey,1,3,4,0,0,6,1,0.75,0.27,2.2,,,1.4,,,small,,reddish orange tunring purplish-black,,,,Kew herbaria
Pinanga borneensis,Pinanga,borneensis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Pinanga brevipes,Pinanga,brevipes,Areceae,Arecoideae,0,1,0,understorey,1,0.5,5,0,0,,3.35,,1.4,1,,,0.8,,,small,globose,green to rose-pink,,,,Kew herbaria
Pinanga brewsteriana,Pinanga,brewsteriana,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Pinanga caesia,Pinanga,caesia,Areceae,Arecoideae,0,0,1,understorey,1,3,10,0,0,,3,,1.25,1.7,,,1.2,,,small,,orange red to black,,,,palmpedia
Pinanga capitata,Pinanga,capitata,Areceae,Arecoideae,0,0,1,understorey,0,2,5,0,0,8,2.4,2,0.45,1.2,,,0.7,,,small,ovoid,purplish-black,,,,Dransfield 198
Pinanga cattienensis,Pinanga,cattienensis,Areceae,Arecoideae,0,0,1,understorey,0,1.5,2,0,0,,2.11,,1.21,1.9,1.8,2,0.55,0.5,0.6,small,globose,red-pink,,,,palmweb
Pinanga celebica,Pinanga,celebica,Areceae,Arecoideae,0,0,1,understorey,1,5,6,0,0,,2,,0.45,1.5,,,0.9,,,small,globose,"purple, pulp as well",,,,Kew herbaria
Pinanga chaiana,Pinanga,chaiana,Areceae,Arecoideae,0,0,1,canopy,1,5.5,2.5,0,0,7,2,1.82,0.2,1.35,1,1.7,0.60,,,small,globose,almost mature fruit greenish yellow,,,,Dransfield 198
Pinanga cleistantha,Pinanga,cleistantha,Areceae,Arecoideae,0,0,1,understorey,0,3,0.7,0,0,8,0.3,,,1.5,,,1,,,small,globose,purplish brown,,,,Kew herbaria
Pinanga copelandii,Pinanga,copelandii,Areceae,Arecoideae,0,0,1,canopy,1,10,20,0,0,,3,,,2.00,1.5,2.5,1,,,small,elongate,red turning deep purplish-black,,,,Kew herbaria
Pinanga coronata,Pinanga,coronata,Areceae,Arecoideae,0,0,1,canopy,0,10,10,0,0,7,3,2,0.95,1.3,1.1,1.5,0.8,0.6,1,small,ovoid,"yellow pink to black, on red rachis",,,,"palmweb, kew herbaria"
Pinanga crassipes,Pinanga,crassipes,Areceae,Arecoideae,0,0,1,understorey,1,2,7,0,0,,3.5,,2.1,1.6,,,0.9,,,small,ovoid,pinkish red to black,,,,palmpedia
Pinanga cucullata,Pinanga,cucullata,Areceae,Arecoideae,0,0,1,understorey,0,0.6,0.8,0,0,8,0.5,,,1.3,,,0.5,,,small,,black,,,,palmweb
Pinanga cupularis,Pinanga,cupularis,Areceae,Arecoideae,0,0,1,understorey,0,2,0.8,0,0,6,0.46,0.4,0.09,1.6,1.2,2,0.3,0.2,0.4,small,ovoid,,,,,palmweb
Pinanga curranii,Pinanga,curranii,Areceae,Arecoideae,0,0,1,canopy,1,15,15,0,0,,2.5,,0.45,1.5,,,1,,,small,ovoid,"red, eaten by squirles",,,,Kew herbaria
Pinanga declinata,Pinanga,declinata,Areceae,Arecoideae,0,0,1,understorey,0,5,5.5,0,0,7,1.63,1.11,0.57,1.75,1.5,2,0.6,0.5,0.7,small,,,,,,palmweb
Pinanga decora,Pinanga,decora,Areceae,Arecoideae,0,0,1,canopy,0,8,12,0,0,,1.5,1.5,,1.5,,,1,,,small,,reddish,,,,
Pinanga densiflora,Pinanga,densiflora,Areceae,Arecoideae,0,0,1,understorey,0,2,5,0,0,7,2,,0.55,1.6,,,0.8,,,small,ovoid,red,,,,palmpedia
Pinanga dicksonii,Pinanga,dicksonii,Areceae,Arecoideae,0,0,1,canopy,2,6,5,0,0,,1.5,,,2,,,0.7,,,small,globose,,,,,
Pinanga disticha,Pinanga,disticha,Areceae,Arecoideae,0,0,1,understorey,0,1.8,1,0,0,6,1.5,0.6,0.85,1.35,1.2,1.5,0.9,0.8,1,small,ovoid,red,,,,
Pinanga dumetosa,Pinanga,dumetosa,Areceae,Arecoideae,0,0,1,understorey,0,1,1.3,0,0,8,1.5,0.75,0.8,1.5,,,0.7,,,small,globose,from crimson to purplish-black,,,,Dransfield 198
Pinanga egregia,Pinanga,egregia,Areceae,Arecoideae,0,0,1,understorey,1,2,1.5,0,0,7,0.87,0.65,0.24,1.6,,,0.8,,,small,,"pinkish, ripening red then purplish-black",,,,palmweb
Pinanga forbesii,Pinanga,forbesii,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Pinanga fractiflexa,Pinanga,fractiflexa,Areceae,Arecoideae,0,0,1,understorey,0,5,5,0,0,11,2,2,,3,,,1.5,,,small,,brownish yellow,,,,
Pinanga furfuracea,Pinanga,furfuracea,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Pinanga geonomiformis,Pinanga,geonomiformis,Areceae,Arecoideae,0,0,1,understorey,2,5,3,0,0,,1,,0.29,1,,,0.8,,,small,,pink to purplish black,,,,Kew herbaria
Pinanga glauca,Pinanga,glauca,Areceae,Arecoideae,0,0,1,understorey,0,3.5,1.5,0,0,5,0.56,,0.13,1.2,,,0.9,,,small,,,,,,
Pinanga glaucescens,Pinanga,glaucescens,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,1.7,,,1.00,,,small,,black,,,,Kew herbaria
Pinanga glaucifolia,Pinanga,glaucifolia,Areceae,Arecoideae,0,0,1,understorey,1,3,6,0,0,8,1.23,1,0.25,2,,,1.8,,,small,ovoid,"ripening yellow then red, but ultimately satiny purplish-black",,,,palmweb
Pinanga globulifera,Pinanga,globulifera,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Pinanga gracilis,Pinanga,gracilis,Areceae,Arecoideae,0,0,1,understorey,0,4,1.5,0,0,6,0.73,0.6,0.15,1.8,0.8,,1,,,small,globose,red,,,,
Pinanga gracillima,Pinanga,gracillima,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Pinanga grandijuga,Pinanga,grandijuga,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Pinanga grandis,Pinanga,grandis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,dark green,,,,palmpedia
Pinanga griffithii,Pinanga,griffithii,Areceae,Arecoideae,0,0,1,understorey,0,3,2,0,0,,1,1,,1.5,,,0.7,,,small,,purple-black,,,,
Pinanga heterophylla,Pinanga,heterophylla,Areceae,Arecoideae,0,0,1,understorey,1,3,1.5,0,0,,1,,0.29,1,,,0.8,,,small,globose,"green turning red, purplish-black",,,,Kew herbaria
Pinanga hexasticha,Pinanga,hexasticha,Areceae,Arecoideae,0,0,1,canopy,1,10,10,0,0,,1.5,1.5,,1.35,1.3,1.4,3,,,small,,,,,,
Pinanga hookeriana,Pinanga,hookeriana,Areceae,Arecoideae,0,0,1,understorey,1,1,2,0,0,,1.5,,,1.2,,,0.7,,,small,,,,,,
Pinanga humilis,Pinanga,humilis,Areceae,Arecoideae,0,0,1,understorey,0,1,1,0,0,5,1.17,0.4,0.82,1.7,,,0.4,,,small,ovoid,white or yellowish to red,,,,"palmpedia, Kew herbaria"
Pinanga hymenospatha,Pinanga,hymenospatha,Areceae,Arecoideae,0,0,1,understorey,,1,0.5,0,0,6,0.4,0.4,0.12,,,,,,,,ovoid,,,,,
Pinanga inaequalis,Pinanga,inaequalis,Areceae,Arecoideae,0,0,1,understorey,1,1,,0,0,,1,,,1.3,,,,,,small,ovoid,,,,,
Pinanga insignis,Pinanga,insignis,Areceae,Arecoideae,0,0,1,canopy,1,15,25,0,0,,6,,,2.6,,,1.2,,,small,globose,red,,,,palmpedia
Pinanga isabelensis,Pinanga,isabelensis,Areceae,Arecoideae,0,0,1,understorey,1,3,2,0,0,,0.95,,0.31,2,,,0.9,,,small,ovoid,,,,,
Pinanga jamariensis,Pinanga,jamariensis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Pinanga jambusana,Pinanga,jambusana,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Pinanga javana,Pinanga,javana,Areceae,Arecoideae,0,0,1,canopy,1,10,15,0,0,10,3,2.7,0.33,2.3,2,2.6,1.3,1.1,1.4,small,globose,"pale pinkish yellow when young, when ripe turning dark red then black",,,,palmweb
Pinanga johorensis,Pinanga,johorensis,Areceae,Arecoideae,0,0,1,canopy,0,7,3,0,0,9,1.38,1,0.43,3,,,1.5,,,small,,,,,,
Pinanga keahii,Pinanga,keahii,Areceae,Arecoideae,0,0,1,understorey,0,4,2,0,0,7,1.3,,0.27,3.1,,,1.4,,,small,ovoid,pale yellow green,,,,Kew herbaria
Pinanga kontumensis,Pinanga,kontumensis,Areceae,Arecoideae,0,0,1,understorey,0,2,1,0,0,8,0.3,0.3,0.12,1.5,,,0.4,,,small,globose,white or yellowish,,,,palmweb
Pinanga lacei,Pinanga,lacei,Areceae,Arecoideae,0,0,1,understorey,,1,1,0,0,,0.3,0.3,,1.5,,,0.7,,,small,globose,,,,,
Pinanga latisecta,Pinanga,latisecta,Areceae,Arecoideae,0,1,0,understorey,1,1,4,0,0,8,1.5,,0.45,1.7,,,0.9,,,small,globose,"green against bright red fruit stalk, turning purplish black",,,,"palmpedia, Kew herbaria"
Pinanga lepidota,Pinanga,lepidota,Areceae,Arecoideae,0,0,1,understorey,2,2.5,2,0,0,8,0.4,,,0.85,,,0.5,,,small,globose,"dark green with yellow base when young, turning orange",,,,Kew herbaria
Pinanga ligulata,Pinanga,ligulata,Areceae,Arecoideae,0,0,1,understorey,1,2,4,0,0,,1,,,2,,,0.9,,,small,globose,,,,,
Pinanga limbangensis,Pinanga,limbangensis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Pinanga limosa,Pinanga,limosa,Areceae,Arecoideae,0,0,1,understorey,1,4,1,0,0,12,0.8,,,1.1,,,0.6,,,small,globose,black against bright red fruit stalk,,,,palmpedia
Pinanga macrospadix,Pinanga,macrospadix,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Pinanga maculata,Pinanga,maculata,Areceae,Arecoideae,0,0,1,understorey,1,5,5,0,0,7,2,,,2.5,2,3,1.6,,,small,ovoid,red to black,,,,palmpedia
Pinanga malaiana,Pinanga,malaiana,Areceae,Arecoideae,0,0,1,canopy,0,7,7,0,0,9,2,2,,2.5,,,1.4,1.3,1.5,small,globose,green to yellowish red to purple-black,,1,,
Pinanga manii,Pinanga,manii,Areceae,Arecoideae,0,0,1,canopy,1,16,15,0,0,,2,2,,2,,,1,,,small,ovoid,red turning black,,1,,
Pinanga megalocarpa,Pinanga,megalocarpa,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Pinanga micholitzii,Pinanga,micholitzii,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,elongate,,,,,
Pinanga minor,Pinanga,minor,Areceae,Arecoideae,0,0,1,understorey,1,3,3,0,0,,1.5,,,1.5,,,0.8,,,small,,,,,,
Pinanga minuta,Pinanga,minuta,Areceae,Arecoideae,0,0,1,understorey,2,1.5,0.5,0,0,13,0.3,,,0.95,,,0.5,,,small,elongate,pale yellow,,,,Kew herbaria
Pinanga mirabilis,Pinanga,mirabilis,Areceae,Arecoideae,0,0,1,understorey,2,4.5,1.5,0,0,9,2,,0.33,2.25,,,1.7,,,small,globose,"red brown, purple-black",,,,"palmpedia, Kew herbaria"
Pinanga modesta,Pinanga,modesta,Areceae,Arecoideae,0,0,1,understorey,0,3,1.5,0,0,5,1.5,,,1.63,1.55,1.7,1,,,small,ovoid,pink turning red then purplish,,,,Kew herbaria
Pinanga mooreana,Pinanga,mooreana,Areceae,Arecoideae,0,0,1,canopy,0,8,2.5,0,0,8,3,2,,1.5,,,0.5,,,small,ovoid,yellow/orange to deep purplish-black,,,,Dransfield 198
Pinanga negrosensis,Pinanga,negrosensis,Areceae,Arecoideae,0,0,1,canopy,0,8,7,0,0,,2,,,1.2,,,,,,small,elongate,,,,,
Pinanga nuichuensis,Pinanga,nuichuensis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Pinanga pachycarpa,Pinanga,pachycarpa,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Pinanga pachyphylla,Pinanga,pachyphylla,Areceae,Arecoideae,0,0,1,understorey,2,3,2,0,0,5,1.2,0.9,0.33,0.9,,,0.5,,,small,globose,,,,,
Pinanga palustris,Pinanga,palustris,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Pinanga pantiensis,Pinanga,pantiensis,Areceae,Arecoideae,0,0,1,canopy,0,6,20,0,0,,2.5,2,0.55,,,,,,,,ovoid,,,,,
Pinanga paradoxa,Pinanga,paradoxa,Areceae,Arecoideae,0,0,1,understorey,0,1.8,0.7,0,0,7,0.4,0.4,,1.8,,,1,,,small,,ripening red to black,,1,,
Pinanga parvula,Pinanga,parvula,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Pinanga patula,Pinanga,patula,Areceae,Arecoideae,0,0,1,canopy,1,6,3,0,0,12,2,1.6,0.3,1,,,0.5,,,small,elongate,"pale pinkish brown, yellow, red",,,,Kew herbaria
Pinanga pectinata,Pinanga,pectinata,Areceae,Arecoideae,0,0,1,understorey,2,4,3,0,0,7,2,,0.65,1.8,,,0.8,,,small,,"young cream, green",,,,Kew herbaria
Pinanga perakensis,Pinanga,perakensis,Areceae,Arecoideae,0,0,1,understorey,0,3,4,0,0,9,2,2,,2,,,1.05,1,1.1,small,ovoid,ripening pink to black; purple-black,,1,,
Pinanga philippinensis,Pinanga,philippinensis,Areceae,Arecoideae,0,0,1,understorey,1,3,5,0,0,,1,,0.25,1.5,,,0.7,,,small,,pink to red then purplish black,,,,palmpedia
Pinanga pilosa,Pinanga,pilosa,Areceae,Arecoideae,0,0,1,,0,,1,0,0,,0.4,0.4,,1,,,0.55,,,small,globose,yellow to orange to red,,,,"palmpedia, Kew herbaria"
Pinanga plicata,Pinanga,plicata,Areceae,Arecoideae,0,0,1,understorey,0,2,1.7,0,0,,0.4,0.4,,1.5,,,0.7,,,small,globose,,,,,
Pinanga polymorpha,Pinanga,polymorpha,Areceae,Arecoideae,0,0,1,understorey,0,3,2.5,0,0,6,0.77,,,1.6,1.4,1.8,1,0.8,1.2,small,,purple-black; blue-green to black,,,,
Pinanga porrecta,Pinanga,porrecta,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Pinanga pulchella,Pinanga,pulchella,Areceae,Arecoideae,0,0,1,understorey,1,1.5,1.5,0,0,,,,,,,,,,,,globose,,,,,
Pinanga purpurea,Pinanga,purpurea,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Pinanga quadrijuga,Pinanga,quadrijuga,Areceae,Arecoideae,0,0,1,understorey,0,3,2,0,0,6,1.07,,0.22,1.3,,,0.7,,,small,,pink or red,,,,
Pinanga ridleyana,Pinanga,ridleyana,Areceae,Arecoideae,0,0,1,understorey,1,1,1,0,0,8,0.5,,,1.7,,,0.50,,,small,globose,deep red to black,,,,Kew herbaria
Pinanga rigida,Pinanga,rigida,Areceae,Arecoideae,0,0,1,understorey,1,5,2,0,0,,1,,,1,,,0.7,,,small,,red,,,,Kew herbaria
Pinanga riparia,Pinanga,riparia,Areceae,Arecoideae,0,0,1,understorey,0,5,3,0,0,6,0.9,0.8,0.12,1.3,,,0.7,,,small,ovoid,ripening red to black,,1,,
Pinanga rivularis,Pinanga,rivularis,Areceae,Arecoideae,0,0,1,understorey,0,1.5,1.5,0,0,,0.5,,,0.65,,,0.5,,,small,elongate,"bright green, yellow cream",,,,"palmpedia, Kew herbaria"
Pinanga rumphiana,Pinanga,rumphiana,Areceae,Arecoideae,0,0,1,canopy,1,15,15,0,0,7,3.1,2.75,0.4,1.5,,,0.90,,,small,ovoid,bright red to blackish,,,,"palmpedia, Kew herbaria"
Pinanga rupestris,Pinanga,rupestris,Areceae,Arecoideae,0,0,1,understorey,0,0.6,0.6,0,0,6,0.67,0.5,0.19,1.7,,,0.9,,,small,ovoid,,,,,
Pinanga salicifolia,Pinanga,salicifolia,Areceae,Arecoideae,0,0,1,understorey,1,4,4,0,0,6,1.5,,0.45,1.5,,,0.5,,,small,globose,"pale green, brown",,,,Kew herbaria
Pinanga samarana,Pinanga,samarana,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,globose,,,,,
Pinanga sarmentosa,Pinanga,sarmentosa,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,elongate,,,,,
Pinanga sclerophylla,Pinanga,sclerophylla,Areceae,Arecoideae,0,0,1,understorey,0,4,4,0,0,,3,,2.2,1,,,0.7,,,small,elongate,,,,,
Pinanga scortechinii,Pinanga,scortechinii,Areceae,Arecoideae,0,0,1,understorey,0,5,5,0,0,8,2.5,2.5,,1.35,1.2,1.5,0.85,0.7,1,small,,black; red,,,,
Pinanga sessilifolia,Pinanga,sessilifolia,Areceae,Arecoideae,0,0,1,understorey,1,2,1.25,0,0,10,0.47,,0.02,1.5,,,0.4,,,small,,darkgreen purple black,,,,Kew herbaria
Pinanga sibuyanensis,Pinanga,sibuyanensis,Areceae,Arecoideae,0,0,1,canopy,,9,15,0,0,,1.2,,,2.1,,,1.5,,,small,,green?,,,,Kew herbaria
Pinanga sierramadreana,Pinanga,sierramadreana,Areceae,Arecoideae,0,0,1,understorey,1,5,2.5,0,0,5,0.9,0.6,0.33,1.3,,,0.8,,,small,globose,green ripening red then purplish-black,,,,palmpedia
Pinanga simplicifrons,Pinanga,simplicifrons,Areceae,Arecoideae,0,0,1,understorey,0,1.5,1.5,0,0,7,0.8,,,1.9,1.8,2,1,,,small,,red,,,,
Pinanga singaporensis,Pinanga,singaporensis,Areceae,Arecoideae,0,0,1,,0,,,0,0,,,,,1.6,,,0.90,,,small,globose,,,,,Kew herbaria
Pinanga sobolifera,Pinanga,sobolifera,Areceae,Arecoideae,0,0,1,understorey,0,2,2.5,0,0,5,1.1,1.02,0.11,1.2,,,0.8,,,small,ovoid,ripening pinkish then purplish-black,,,,palmweb
